Week,TEAM_1,TEAM_2,,,,,,,,,,,,,,,,
11,PIT,TEN,,,,,,,,,,,,,,,,
11,SF,BYE,,,,,,,,,,,,,,,,
11,SEA,ATL,,,,,,,,,,,,,,,,
11,TB,@MIA,,,,,,,,,,,,,,,,
11,TEN,@PIT,,,,,,,,,,,,,,,,
11,WSH,@NO,,,,,,,,,,,,,,,,
12,ARI,JAX,,,,,,,,,,,,,,,,
12,ATL,TB,,,,,,,,,,,,,,,,
12,BAL,HOU,,,,,,,,,,,,,,,,
12,BUF,@KC,,,,,,,,,,,,,,,,
12,CAR,@NYJ,,,,,,,,,,,,,,,,
12,CHI,@PHI,,,,,,,,,,,,,,,,
12,CIN,CLE,,,,,,,,,,,,,,,,
12,CLE,@CIN,,,,,,,,,,,,,,,,
12,DAL,LAC,,,,,,,,,,,,,,,,
12,DEN,@OAK,,,,,,,,,,,,,,,,
12,DET,MIN,,,,,,,,,,,,,,,,
12,GB,@PIT,,,,,,,,,,,,,,,,
12,HOU,@BAL,,,,,,,,,,,,,,,,
12,IND,TEN,,,,,,,,,,,,,,,,
12,JAX,@ARI,,,,,,,,,,,,,,,,
12,KC,BUF,,,,,,,,,,,,,,,,
12,LAR,NO,,,,,,,,,,,,,,,,
12,LAC,@DAL,,,,,,,,,,,,,,,,
12,MIA,@NE,,,,,,,,,,,,,,,,
12,MIN,@DET,,,,,,,,,,,,,,,,
12,NE,MIA,,,,,,,,,,,,,,,,
12,NO,@LAR,,,,,,,,,,,,,,,,
12,NYG,@WSH,,,,,,,,,,,,,,,,
12,NYJ,CAR,,,,,,,,,,,,,,,,
12,OAK,DEN,,,,,,,,,,,,,,,,
12,PHI,CHI,,,,,,,,,,,,,,,,
12,PIT,GB,,,,,,,,,,,,,,,,
12,SF,SEA,,,,,,,,,,,,,,,,
12,SEA,@SF,,,,,,,,,,,,,,,,
12,TB,@ATL,,,,,,,,,,,,,,,,
12,TEN,@IND,,,,,,,,,,,,,,,,
12,WSH,NYG,,,,,,,,,,,,,,,,
13,ARI,LAR,,,,,,,,,,,,,,,,
13,ATL,MIN,,,,,,,,,,,,,,,,
13,BAL,DET,,,,,,,,,,,,,,,,
13,BUF,NE,,,,,,,,,,,,,,,,
13,CAR,@NO,,,,,,,,,,,,,,,,
13,CHI,SF,,,,,,,,,,,,,,,,
13,CIN,PIT,,,,,,,,,,,,,,,,
13,CLE,@LAC,,,,,,,,,,,,,,,,
13,DAL,WSH,,,,,,,,,,,,,,,,
13,DEN,@MIA,,,,,,,,,,,,,,,,
13,DET,@BAL,,,,,,,,,,,,,,,,
13,GB,TB,,,,,,,,,,,,,,,,
13,HOU,@TEN,,,,,,,,,,,,,,,,
13,IND,@JAX,,,,,,,,,,,,,,,,
13,JAX,IND,,,,,,,,,,,,,,,,
13,KC,@NYJ,,,,,,,,,,,,,,,,
13,LAR,@ARI,,,,,,,,,,,,,,,,
13,LAC,CLE,,,,,,,,,,,,,,,,
13,MIA,DEN,,,,,,,,,,,,,,,,
13,MIN,@ATL,,,,,,,,,,,,,,,,
13,NE,@BUF,,,,,,,,,,,,,,,,
13,NO,CAR,,,,,,,,,,,,,,,,
13,NYG,@OAK,,,,,,,,,,,,,,,,
13,NYJ,KC,,,,,,,,,,,,,,,,
13,OAK,NYG,,,,,,,,,,,,,,,,
13,PHI,@SEA,,,,,,,,,,,,,,,,
13,PIT,@CIN,,,,,,,,,,,,,,,,
13,SF,@CHI,,,,,,,,,,,,,,,,
13,SEA,PHI,,,,,,,,,,,,,,,,
13,TB,@GB,,,,,,,,,,,,,,,,
13,TEN,HOU,,,,,,,,,,,,,,,,
13,WSH,@DAL,,,,,,,,,,,,,,,,
14,ARI,TEN,,,,,,,,,,,,,,,,
14,ATL,NO,,,,,,,,,,,,,,,,
14,BAL,@PIT,,,,,,,,,,,,,,,,
14,BUF,IND,,,,,,,,,,,,,,,,
14,CAR,MIN,,,,,,,,,,,,,,,,
14,CHI,@CIN,,,,,,,,,,,,,,,,
14,CIN,CHI,,,,,,,,,,,,,,,,
14,CLE,GB,,,,,,,,,,,,,,,,
14,DAL,@NYG,,,,,,,,,,,,,,,,
14,DEN,NYJ,,,,,,,,,,,,,,,,
14,DET,@TB,,,,,,,,,,,,,,,,
14,GB,@CLE,,,,,,,,,,,,,,,,
14,HOU,SF,,,,,,,,,,,,,,,,
14,IND,@BUF,,,,,,,,,,,,,,,,
14,JAX,SEA,,,,,,,,,,,,,,,,
14,KC,OAK,,,,,,,,,,,,,,,,
14,LAR,PHI,,,,,,,,,,,,,,,,
14,LAC,WSH,,,,,,,,,,,,,,,,
14,MIA,NE,,,,,,,,,,,,,,,,
14,MIN,@CAR,,,,,,,,,,,,,,,,
14,NE,@MIA,,,,,,,,,,,,,,,,
14,NO,@ATL,,,,,,,,,,,,,,,,
14,NYG,DAL,,,,,,,,,,,,,,,,
14,NYJ,@DEN,,,,,,,,,,,,,,,,
14,OAK,@KC,,,,,,,,,,,,,,,,
14,PHI,@LAR,,,,,,,,,,,,,,,,
14,PIT,BAL,,,,,,,,,,,,,,,,
14,SF,@HOU,,,,,,,,,,,,,,,,
14,SEA,@JAX,,,,,,,,,,,,,,,,
14,TB,DET,,,,,,,,,,,,,,,,
14,TEN,@ARI,,,,,,,,,,,,,,,,
14,WSH,@LAC,,,,,,,,,,,,,,,,
15,ARI,@WSH,,,,,,,,,,,,,,,,
15,ATL,@TB,,,,,,,,,,,,,,,,
15,BAL,@CLE,,,,,,,,,,,,,,,,
15,BUF,MIA,,,,,,,,,,,,,,,,
15,CAR,GB,,,,,,,,,,,,,,,,
15,CHI,@DET,,,,,,,,,,,,,,,,
15,CIN,@MIN,,,,,,,,,,,,,,,,
15,CLE,BAL,,,,,,,,,,,,,,,,
15,DAL,@OAK,,,,,,,,,,,,,,,,
15,DEN,@IND,,,,,,,,,,,,,,,,
15,DET,CHI,,,,,,,,,,,,,,,,
15,GB,@CAR,,,,,,,,,,,,,,,,
15,HOU,@JAX,,,,,,,,,,,,,,,,
15,IND,DEN,,,,,,,,,,,,,,,,
15,JAX,HOU,,,,,,,,,,,,,,,,
15,KC,LAC,,,,,,,,,,,,,,,,
15,LAR,@SEA,,,,,,,,,,,,,,,,
15,LAC,@KC,,,,,,,,,,,,,,,,
15,MIA,@BUF,,,,,,,,,,,,,,,,
15,MIN,CIN,,,,,,,,,,,,,,,,
15,NE,@PIT,,,,,,,,,,,,,,,,
15,NO,NYJ,,,,,,,,,,,,,,,,
15,NYG,PHI,,,,,,,,,,,,,,,,
15,NYJ,@NO,,,,,,,,,,,,,,,,
15,OAK,DAL,,,,,,,,,,,,,,,,
15,PHI,@NYG,,,,,,,,,,,,,,,,
15,PIT,NE,,,,,,,,,,,,,,,,
15,SF,TEN,,,,,,,,,,,,,,,,
15,SEA,LAR,,,,,,,,,,,,,,,,
15,TB,ATL,,,,,,,,,,,,,,,,
15,TEN,@SF,,,,,,,,,,,,,,,,
15,WSH,ARI,,,,,,,,,,,,,,,,
16,ARI,NYG,,,,,,,,,,,,,,,,
16,ATL,@NO,,,,,,,,,,,,,,,,
16,BAL,IND,,,,,,,,,,,,,,,,
16,BUF,@NE,,,,,,,,,,,,,,,,
16,CAR,TB,,,,,,,,,,,,,,,,
16,CHI,CLE,,,,,,,,,,,,,,,,
16,CIN,DET,,,,,,,,,,,,,,,,
16,CLE,@CHI,,,,,,,,,,,,,,,,
16,DAL,SEA,,,,,,,,,,,,,,,,
16,DEN,@WSH,,,,,,,,,,,,,,,,
16,DET,@CIN,,,,,,,,,,,,,,,,
16,GB,MIN,,,,,,,,,,,,,,,,
16,HOU,PIT,,,,,,,,,,,,,,,,
16,IND,@BAL,,,,,,,,,,,,,,,,
16,JAX,@SF,,,,,,,,,,,,,,,,
16,KC,MIA,,,,,,,,,,,,,,,,
16,LAR,@TEN,,,,,,,,,,,,,,,,
16,LAC,@NYJ,,,,,,,,,,,,,,,,
16,MIA,@KC,,,,,,,,,,,,,,,,
16,MIN,@GB,,,,,,,,,,,,,,,,
16,NE,BUF,,,,,,,,,,,,,,,,
16,NO,ATL,,,,,,,,,,,,,,,,
16,NYG,@ARI,,,,,,,,,,,,,,,,
16,NYJ,LAC,,,,,,,,,,,,,,,,
16,OAK,@PHI,,,,,,,,,,,,,,,,
16,PHI,OAK,,,,,,,,,,,,,,,,
16,PIT,@HOU,,,,,,,,,,,,,,,,
16,SF,JAX,,,,,,,,,,,,,,,,
16,SEA,@DAL,,,,,,,,,,,,,,,,
16,TB,@CAR,,,,,,,,,,,,,,,,
16,TEN,LAR,,,,,,,,,,,,,,,,
16,WSH,DEN,,,,,,,,,,,,,,,,
17,ARI,@SEA,,,,,,,,,,,,,,,,
17,ATL,CAR,,,,,,,,,,,,,,,,
17,BAL,CIN,,,,,,,,,,,,,,,,
17,BUF,@MIA,,,,,,,,,,,,,,,,
17,CAR,@ATL,,,,,,,,,,,,,,,,
17,CHI,@MIN,,,,,,,,,,,,,,,,
17,CIN,@BAL,,,,,,,,,,,,,,,,
17,CLE,@PIT,,,,,,,,,,,,,,,,
17,DAL,@PHI,,,,,,,,,,,,,,,,
17,DEN,KC,,,,,,,,,,,,,,,,
17,DET,GB,,,,,,,,,,,,,,,,
17,GB,@DET,,,,,,,,,,,,,,,,
17,HOU,@IND,,,,,,,,,,,,,,,,
17,IND,HOU,,,,,,,,,,,,,,,,
17,JAX,@TEN,,,,,,,,,,,,,,,,
17,KC,@DEN,,,,,,,,,,,,,,,,
17,LAR,SF,,,,,,,,,,,,,,,,
17,LAC,OAK,,,,,,,,,,,,,,,,
17,MIA,BUF,,,,,,,,,,,,,,,,
